#OTU ID	S1-1	S1-2	S1-3	S2-1	S2-2	S4-1	S4-2	S4-3	S6-1	S6-2	S6-3	S7-1	S7-2	S7-3	S8-1	S8-2	S8-3	S9-1	S9-2	S9-3	S11-1	S11-2	S11-3	S12-1	S12-2	S12-3	S13-2	S13-3	S14-1	S14-2	S14-3	S15-1	S15-2	S15-3	S16-1	S16-2	S16-3	S17-1	S17-2	S17-3	S18-1	S18-2	S18-3	S19-1	S19-2	S19-3	S20-1	S20-2	S20-3	S21-1	S21-2	S21-3	S22-1	S22-2	S22-3	S23-1	S23-2	S23-3	S24-1	S25-1	S25-2	S25-3	S28-1	S28-2	S28-3	S29-1	S29-2	S29-3	S30-1	S31-1	S31-2	S31-3	S32-1	S32-2	S32-3	S33-1	S33-2	S33-3	S34-1	S34-2	S34-3	S35-1	S35-2	S35-3	S37-2	S37-3	S38-1	S38-2	S38-3	S40-1	S40-2	S40-3	S41-1	S41-2	S42-1	S42-2	S42-3	S47-1	S47-2	S47-3	S48-1	S48-2	S48-3	S49-1	S49-2	S49-3	S50-1	S52-1	S52-2	S53-1	S53-2	S53-3	S55-1	S55-2	S55-3	S56-1	S56-2	S56-3	S57-1	S57-2	S57-3
ASV833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	329	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0
ASV834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	0	0	0	0	2	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV835	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	43	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	4	0	0	0	0	0	0	6	0	29	0	0	0	2	0	0	0	0	0	0	19	5	81	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	160	0	5	10	2	0	0	0	0	166	0	0	0	0	0	0	0	1	11	1
ASV836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	18	7	0	0	0	0	0	0	0	0	56	251	73	0	0	0	0	0	0	0	0	0	0	0	0	8	17	3	0	0	0	0	0	0	0	0	0	0	48	19	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	28	15	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	235	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV838	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	78	581	0	0	0
ASV840	0	0	0	26	0	714	95	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	84	0	22	0	0	22	187	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
ASV841	0	0	0	10	0	0	19	0	0	0	0	11	76	0	11	3	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	44	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	538	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	14	19	1	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
